Actual,Predicted
190373.875,
191030.142857,
191606.875,
192059.142854,
192355.767857,
192615.249999,
192790.625,
192859.160716,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
192862.0,
177751.0,
6149.946428,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
20.321428572,
154.214285713,
447.446428567,
962.51785715,
1767.39285713,
2943.1964286,
4519.8571428000005,
6560.5357143,
9052.2321429,
12012.3392856,
15396.7678571,
19219.4107143,
23420.9642859,
28041.446428,
32952.714287,
38240.982143,
43641.0,
49159.410714,
54885.892857,
61186.625,
67192.732144,
72726.571429,
77894.196428,
83272.892856,
88563.196428,
95071.107143,
100048.428572,
105773.517856,
111777.982144,
115231.160712,
121149.732143,
127242.75,
132940.892858,
135830.928572,
138803.267858,
141905.875,
144337.142856,
146681.642857,
149931.839287,
154129.339286,
157619.339287,
160752.660714,
163917.196429,
166911.107143,
169895.178571,
171168.875,
171585.267858,
171894.321428,
172120.803572,
149008.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
9.017857144,
144.335714285,
439.85714283,
1065.4464286,
2021.13690475,
3008.9642858,
4461.3750001,
6428.9535714,
8696.8928572,
11523.3988096,
14773.75,
18233.9404763,
22224.8607149,
26561.778572,
31056.928572,
36002.846428,
40767.083334,
43932.017859,
47999.238093,
51852.714287,
56297.750001,
60747.119048,
67300.309525,
73422.678573,
79123.803571,
84716.607141,
88370.446429,
92915.589284,
97403.196429,
101184.374999,
103460.994049,
105916.142857,
108227.392857,
110523.714286,
113979.928572,
118073.017856,
120712.464286,
123304.964285,
126425.19643,
130823.517858,
133993.214285,
137034.642858,
139857.499999,
142019.446428,
143527.339285,
144741.482144,
145452.839287,
145848.964286,
146063.285715,
66053.035715,
66067.875,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
66068.0,
60853.303571,
4456.375,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
17.071428571,
166.25,
483.60714286,
1035.28571427,
1906.39285713,
3148.4107142000003,
4780.3571429,
6848.642857,
9312.0535714,
12245.8928572,
15597.1488097,
19476.5535714,
23726.428571,
28340.714286,
33281.517857,
38392.142858,
43689.410713,
49351.214287,
54813.964285,
60099.0,
65195.553572,
71692.285714,
78510.357142,
85369.458333,
92009.392857,
98953.97619,
105011.892856,
111275.178572,
117991.910715,
124748.51785599999,
128635.464285,
133292.357141,
139490.732142,
142729.696429,
146175.589288,
150120.208333,
155512.660713,
160512.035714,
165024.642857,
168731.732144,
171278.392858,
173432.25,
175806.005952,
177755.982142,
179727.375,
181400.869048,
182366.732143,
182824.428571,
183136.785713,
183346.196428,
183425.285716,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
183432.0,
46.899999995,
413.50000002,
1054.94642857,
2030.30357142,
3078.1250004,
4198.482143,
5510.7857142,
7128.5535714,
9185.3392857,
11647.9821429,
14512.6607142,
17687.1964285,
22226.7857143,
26458.910714,
30369.446427,
34630.339285,
40552.321428,
46961.946429,
53138.928570000004,
59296.517859,
65602.071428,
70767.714286,
76722.5,
83157.821429,
89075.089286,
94944.07143,
101590.696428,
108238.142856,
114881.517857,
120840.49999899999,
126520.642858,
130386.821428,
134628.553573,
139419.571429,
144056.107143,
148556.0,
152690.142859,
156574.767859,
160389.857142,
164253.517856,
167757.196427,
170646.910715,
172752.196428,
174540.910714,
176102.232143,
177027.875,
177594.571429,
177971.946429,
178095.75595299999,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
80126.0,
74863.785714,
2089.357143,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
5.339285715,
95.821428571,
355.23214288,
860.94642857,
1629.25,
2691.7499999,
3816.5000001,
4995.5357144,
6391.6250001,
8464.5714286,
10628.75,
12540.8035715,
14390.892857,
16812.0357141,
20077.0535716,
23094.4285716,
25572.767857,
27946.410714999998,
30574.696427,
33431.714286,
36548.642857,
40950.125,
45999.339287,
50634.392858,
56379.5,
63097.642857,
68734.660715,
75244.035715,
80019.053572,
85638.571428,
91520.339287,
97627.214285,
103825.160714,
109998.0,
115860.642856,
121420.785714,
126711.767857,
131677.089286,
136299.928573,
140515.732142,
144369.142858,
147730.857141,
150363.517856,
152644.053572,
154685.196428,
156331.839285,
157511.875001,
158276.69643,
158719.196428,
158979.964285,
159053.678572,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
159056.0,
145198.142857,
6617.25,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
12.625,
151.392857144,
496.17857141,
996.17857143,
1594.91071428,
2262.7321428,
3144.4642856,
4279.7678573,
5573.857143,
7273.9285715,
9437.7857143,
12204.2857143,
16317.75,
19604.8571428,
23124.6428568,
27215.767856,
30647.178571,
34718.178571,
41184.482143,
47182.035714,
51707.946428,
56957.767857,
62564.767858,
68220.160714,
72596.392857,
77030.357142,
81118.785714,
86665.232142,
92557.678571,
96693.214287,
99979.12500100001,
102025.875002,
107160.44643,
112677.553573,
114817.160714,
116240.267857,
117546.249999,
118587.517856,
120134.089287,
121783.767857,
123468.428571,
124860.99999899999,
125910.232143,
126881.142857,
127893.999999,
128913.44643,
129805.410714,
